X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,type,state,district,city,location_placename_gid,location_placename_name,gid,layer_switcher
72.817383,19.005187,Worli PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1413",Worli Shivaji Nagar,"65",poi_police_station
72.849816,19.005017,RAK PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1120",Azad Nagar,"66",poi_police_station
72.945383,19.038263,Trombay PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"162",Cheeta Camp  Sector G,"67",poi_police_station
72.9373,19.129711,Kanjurmarg PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"749",Damle Colony,"68",poi_police_station
72.799095,18.949434,Malbar Hill PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1443",Walkeshwar,"69",poi_police_station
72.823944,18.955713,VP Road PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"32",Grand Road Area,"70",poi_police_station
72.895611,19.036835,RCF PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"326",Azad Nagar,"71",poi_police_station
72.884212,19.071739,Vinoba Bhave Nagar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"975",Vinobha Bhave Nagar,"72",poi_police_station
72.916176,19.086893,Pant Nagar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"795",Savitribai Phule Nagar,"73",poi_police_station
72.848179,19.120243,Andheri PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1157",Sai Baba Wadi,"74",poi_police_station
72.850357,19.06573,Kherwadi PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"297",Ambedkar Nagar,"75",poi_police_station
72.844727,19.066006,Nirmal Nagar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"634",Khar East,"76",poi_police_station
72.875011,19.033054,Wadala Truck Terminal PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1579",Antop Hill Warehousing Complex,"77",poi_police_station
72.868111,19.11764,MIDC PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"231",Chakala Industrial Area,"78",poi_police_station
72.861023,19.131544,Meghwadi PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1129",Income Tax Colony,"79",poi_police_station
72.84716,19.080801,Vakola PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1164",Anand Nagar,"80",poi_police_station
72.854553,19.096216,Vileparle PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"626",Vile Parle East,"81",poi_police_station
72.831589,19.147545,Oshiwara PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"830",Milat Nagar,"82",poi_police_station
72.85434,19.138078,Jogeshwari PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1208",Gupha Tekdi,"83",poi_police_station
72.895721,19.109966,Sakinaka PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"523",Mhada Colony,"84",poi_police_station
72.857796,19.031141,Matunga PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1303",Sion Hospital Colony,"85",poi_police_station
72.921417,19.061201,Shivaji Nagar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"616",Mankhurd,"86",poi_police_station
72.844644,19.183618,Bangur Nagar Police Station,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1220",Mamletdar Wadi,"87",poi_police_station
72.951797,19.177345,Mulund PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"835",Siddharat Nagar,"88",poi_police_station
72.938358,19.121695,Vikhroli PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"716",Kannamwar Nagar Ii,"89",poi_police_station
72.899456,19.119686,Powai PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1330",Rambaug,"90",poi_police_station
72.832672,19.103124,Juhu PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"656",Juhu Tara,"91",poi_police_station
